block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W06-B246,W06,Ward 6,24376.736889827665,2.4376736889827666,10000,143.76736889827666,above_preferred,23
W06-B247,W06,Ward 6,24342.79871083927,2.434279871083927,10000,143.4279871083927,above_preferred,10
W06-B248,W06,Ward 6,24258.49154448231,2.425849154448231,10000,142.5849154448231,above_preferred,16
W06-B249,W06,Ward 6,24073.52783943408,2.407352783943408,10000,140.73527839434078,above_preferred,19
W06-B250,W06,Ward 6,24056.758749753702,2.4056758749753704,10000,140.56758749753703,above_preferred,24
W06-B251,W06,Ward 6,24006.043801111275,2.4006043801111274,10000,140.06043801111275,above_preferred,26
W06-B252,W06,Ward 6,23999.79974036009,2.399979974036009,10000,139.9979974036009,above_preferred,65
W06-B253,W06,Ward 6,23939.283910774928,2.393928391077493,10000,139.3928391077493,above_preferred,4
W06-B254,W06,Ward 6,23835.53559531625,2.383553559531625,10000,138.3553559531625,above_preferred,9
W06-B255,W06,Ward 6,23728.56855519344,2.372856855519344,10000,137.2856855519344,above_preferred,6
W06-B256,W06,Ward 6,23694.645677717792,2.369464567771779,10000,136.94645677717793,above_preferred,4
W06-B257,W06,Ward 6,23694.50543192448,2.369450543192448,10000,136.9450543192448,above_preferred,19
W06-B258,W06,Ward 6,23654.047728993188,2.3654047728993186,10000,136.54047728993186,above_preferred,5
W06-B259,W06,Ward 6,23631.281062661346,2.3631281062661347,10000,136.31281062661347,above_preferred,14
W06-B260,W06,Ward 6,23631.28106264333,2.363128106264333,10000,136.3128106264333,above_preferred,4
W06-B261,W06,Ward 6,23631.28106264333,2.363128106264333,10000,136.3128106264333,above_preferred,14
W06-B262,W06,Ward 6,23594.880093028674,2.3594880093028676,10000,135.94880093028675,above_preferred,21
W06-B263,W06,Ward 6,23299.25712330603,2.329925712330603,10000,132.99257123306032,above_preferred,14
W06-B264,W06,Ward 6,23165.19463193849,2.316519463193849,10000,131.6519463193849,above_preferred,25
W06-B265,W06,Ward 6,23165.19463193082,2.316519463193082,10000,131.65194631930822,above_preferred,27
W06-B266,W06,Ward 6,23165.19463193082,2.316519463193082,10000,131.65194631930822,above_preferred,11
W06-B267,W06,Ward 6,23165.19463193082,2.316519463193082,10000,131.65194631930822,above_preferred,28
W06-B268,W06,Ward 6,23165.19463193082,2.316519463193082,10000,131.65194631930822,above_preferred,13
W06-B269,W06,Ward 6,23075.849643031946,2.3075849643031945,10000,130.75849643031944,above_preferred,0
W06-B270,W06,Ward 6,23027.24384303955,2.302724384303955,10000,130.27243843039548,above_preferred,15
W06-B271,W06,Ward 6,23024.457329680183,2.3024457329680184,10000,130.24457329680183,above_preferred,24
W06-B272,W06,Ward 6,22855.480182892337,2.2855480182892336,10000,128.55480182892336,above_preferred,0
W06-B273,W06,Ward 6,22678.94250758322,2.2678942507583217,10000,126.78942507583217,above_preferred,14
W06-B274,W06,Ward 6,22611.76073301865,2.2611760733018653,10000,126.11760733018653,above_preferred,16
W06-B275,W06,Ward 6,22600.789193187204,2.2600789193187203,10000,126.00789193187202,above_preferred,9
W06-B276,W06,Ward 6,22567.642255674436,2.256764225567444,10000,125.67642255674438,above_preferred,2
W06-B277,W06,Ward 6,22400.22490918901,2.2400224909189013,10000,124.00224909189012,above_preferred,26
W06-B278,W06,Ward 6,22394.02653340152,2.239402653340152,10000,123.94026533401518,above_preferred,20
W06-B279,W06,Ward 6,22387.81382688783,2.238781382688783,10000,123.87813826887827,above_preferred,21
W06-B280,W06,Ward 6,21907.680145464645,2.1907680145464643,10000,119.07680145464643,above_preferred,13
W06-B281,W06,Ward 6,21738.836210863352,2.1738836210863353,10000,117.38836210863353,above_preferred,8
W06-B282,W06,Ward 6,21669.411371702125,2.1669411371702125,10000,116.69411371702125,above_preferred,16
W06-B283,W06,Ward 6,21627.539664411404,2.1627539664411404,10000,116.27539664411404,above_preferred,18
W06-B284,W06,Ward 6,21548.786907164897,2.15487869071649,10000,115.48786907164899,above_preferred,26
W06-B285,W06,Ward 6,21346.65655667494,2.134665655667494,10000,113.46656556674941,above_preferred,8
W06-B286,W06,Ward 6,21302.003230999413,2.1302003230999413,10000,113.02003230999414,above_preferred,27
W06-B287,W06,Ward 6,20922.60058400343,2.0922600584003432,10000,109.22600584003432,above_preferred,0
W06-B288,W06,Ward 6,20777.709257178965,2.0777709257178967,10000,107.77709257178967,above_preferred,0
W06-B289,W06,Ward 6,20777.709257178965,2.0777709257178967,10000,107.77709257178967,above_preferred,1
W06-B290,W06,Ward 6,20777.709257178965,2.0777709257178967,10000,107.77709257178967,above_preferred,5
W06-B291,W06,Ward 6,20777.709257178965,2.0777709257178967,10000,107.77709257178967,above_preferred,1
W06-B292,W06,Ward 6,20717.76579438082,2.071776579438082,10000,107.17765794380819,above_preferred,0
W06-B293,W06,Ward 6,20579.26178578617,2.057926178578617,10000,105.7926178578617,above_preferred,14
W06-B294,W06,Ward 6,20551.0339808011,2.05510339808011,10000,105.51033980801101,above_preferred,25
W06-B295,W06,Ward 6,20481.711136340175,2.0481711136340173,10000,104.81711136340172,above_preferred,7
W06-B296,W06,Ward 6,20073.78337661731,2.007378337661731,10000,100.73783376617311,above_preferred,20
W06-B297,W06,Ward 6,20067.80323924007,2.006780323924007,10000,100.67803239240072,above_preferred,2
W06-B298,W06,Ward 6,19918.66332601467,1.991866332601467,10000,99.18663326014669,above_preferred,8
W06-B299,W06,Ward 6,19754.24752248457,1.975424752248457,10000,97.54247522484569,above_preferred,23
W06-B300,W06,Ward 6,19703.319889209724,1.9703319889209725,10000,97.03319889209725,above_preferred,19
W06-B301,W06,Ward 6,19534.164685159103,1.9534164685159103,10000,95.34164685159104,above_preferred,5
W06-B302,W06,Ward 6,19401.64553351503,1.940164553351503,10000,94.01645533515031,above_preferred,2
W06-B303,W06,Ward 6,19353.311778265488,1.9353311778265487,10000,93.53311778265487,above_preferred,8
W06-B304,W06,Ward 6,19347.097058713003,1.9347097058713003,10000,93.47097058713003,above_preferred,23
W06-B305,W06,Ward 6,19334.684505814635,1.9334684505814634,10000,93.34684505814634,above_preferred,15
W06-B306,W06,Ward 6,19334.684505799898,1.9334684505799897,10000,93.34684505799898,above_preferred,15
W06-B307,W06,Ward 6,19334.684505799898,1.9334684505799897,10000,93.34684505799898,above_preferred,17
W06-B308,W06,Ward 6,19299.557562266098,1.9299557562266099,10000,92.995575622661,above_preferred,12
W06-B309,W06,Ward 6,19063.02855543513,1.9063028555435129,10000,90.63028555435129,above_preferred,4
W06-B310,W06,Ward 6,19062.621220612924,1.9062621220612923,10000,90.62621220612922,above_preferred,18
